id,part,step,metaphor,style,time,response
00e8dc,A,1,diverge,plain,157830,"According to the chart, Product A's sales decreased over the years. It started in 80 and ended almost in 0. However, this decrease wasn't a straight line as there's an increasing not only during 2014-2015, but also during 2016-2017."
00e8dc,A,2,diverge,arrow,160703,"In the present chart, product A's sales decreased in the last 10 years starting in 83 and ending in almost 20. During 2014-2015 there's an increase followed by a decrease. This pattern occurred from 2014 to 2020."
00e8dc,A,3,converge,plain,120097,Product A's sales increased over the last 10 years. There's a huge increase from 2010 to 2012 followed by a stagnation from 2012 to 2014 and then an increase again.
00e8dc,A,4,cross,animate,134448,"Product A's sales have surpassed Product B's sales from 2017 to 2018. The evolution of Product A's sales isn't very linear since there's a lot of ups and downs. However, in 2016 there's a huge increase of sales."
00e8dc,A,5,converge,animate,113286,In this chart Product A's sales didn't surpass Product B's sales. From 2010 to 2020 it increased from 0 to 80 in 10 years. It started with a huge increase followed by a decreased and this repeated until 2017.
00e8dc,A,6,cross,arrow,219553,In this chat Products A's sales surpassed Products B' sales. The sales started in 0 and ended in more than 80. In the beginning of the sales there's a decreasing followed by a huge increase of the sales until 2017. From 2017 to 2018 there's a decrease and then an increasing that exceeds the graphic's sales.
00e8dc,A,7,converge,arrow,96546,"In this chart, sales started in 0 and ended in 80 in the course of 10 years. In the beginning there's an increase followed by a decrease of 1 year. Finally, from 2012 to 2020 the sales only increased in number."
00e8dc,A,8,diverge,animate,93980,"In this chart, Product A's sales decreased from 2010 to 2020. The sales started in 80 and ended in almost 2020. There's a brief period of increasing from 2014 to 2015 as well as from 2017 to 2018.
"
00e8dc,A,9,cross,plain,80978,"In this chart, Product A's sales surpassed Product B's sales. They started in 19 and ended in more than 80. However, there's a decrease from 2013 to 2014."
05b90c,A,1,cross,plain,223698,"Product A or line A is having a significant growth compared to product B despite having started lower. It is likely that product A will continue to grow and continue to outgrow product B. Line A started at 20 in 2010 but by 2020 it is already at 80

"
05b90c,A,2,converge,animate,199303,"product A started at approximately 5 in 2010 and started to grow with only a small drop in 2012. Since then product A has grown and by 2020 it already has 80. It is likely that it will out grow product B soon
"
05b90c,A,3,converge,plain,116251,"product A started at 0 in 2010 and started to grow very quickly. Over time the growth of product A has been gradual but slower than in the beginning. 
"
05b90c,A,4,diverge,animate,163166,"The product started at 80 in 2010 and started to descend rapidly. Over time, product A has lost sales and despite having started with almost as many sales as product B, in 2020 it is already much lower
"
05b90c,A,5,diverge,plain,95639,"The product started at 80 in 2010 and started to descend rapidly. Over time, product A has lost sales and despite having started with almost as many sales as product B in 2020, it is already much lower. At this moment in 2020 the product has 8 times less sales comparing to 2010
"
05b90c,A,6,cross,animate,302673,"Product A started at 20 in 2010 and started to rise rapidly.
Over time product A has gone up in sales and despite having started with less sales compared to product B.
Product A and product B in 2018 had the same sales and product A continues to rise, having already surpassed sales of product B. In 2020 sales are over 70
"
05b90c,A,7,converge,arrow,203695,"Product A started at 5 in 2010 and started to climb rapidly.
Over time product A has increased in sales and despite having started much less sales compared to product B.
Product A is likely to surpass product B in sales soon.
In 2020 sales are over 70."
05b90c,A,8,diverge,arrow,165923,"Product A started at 85 in 2010 and started to go down.
Over time Product A has gone down in sales drastically overtime.
In 2020 sales are approximately 20."
05b90c,A,9,cross,arrow,269805,"Product A started at 25 in 2010 and had an initial drop. After this drop, the sales of the product A started to rise.
Over time, product A has increased in sales.
In 2019, product A and product B had the same sales, with product A outgrowing product B after that.
In 2020 sales are approximately 80."
05ea13,A,1,diverge,animate,168544,"The blue line from 2010 to 2014 decreases its sales from 80 to 50, later from 2014 to 2015 it increases its sales a little. 
From 2015 to 2017 their sales decreased drastically, going from having more than 50 to having less than 30."
05ea13,A,2,diverge,plain,75883,Product A from 2010 to 2014 decreases its sales from 80 to 50. From 2014 to 2015 it increases only a little and for 2016 it decreases drastically to less than 40.
05ea13,A,3,cross,animate,106514,Product A from 2010 to 2012 increases its sales from 20 to 40. From 2012 to 2013 it remains stable and for 2014 it decreases to 30.  In 2015 it increases to 50 and for 2020 it will snatch the sales of product B.
05ea13,A,4,converge,arrow,77749,"Product A from 2010 to 2011 increases its sales from less than 10 to 30. For 2012 it decreases to 20 and from 2012 to 2020 it is increasing, having a period from 2014 to 2016 without having a significant increase."
05ea13,A,5,converge,animate,68642,"Product A from 2010 to 2011 increases its sales from less than 10 to 30. From 2012 to 2015 its sales are increasing, from 2016 to 2017 it remains constant and for 2020 they have an increase, but without reaching product B."
05ea13,A,6,converge,plain,69856,"Product A from 2010 to 2012 increases its sales from 0 to 40. From 2012 to 2014 it remains constant and from 2014 to 2020 its sales are increasing, with 2020 being when it reaches 60 sales."
05ea13,A,7,cross,arrow,88496,Product A from 2010 to 2011 decreased its sales from 30 to 10. From 2012 to 2013 its sales increased to 40. From there it continues to increase until 2020 and surpasses the sales of product B.
05ea13,A,8,diverge,arrow,53239,Product A starts with 80 sales in 2010 but as the years go by it continues to decline. In 2017 it has an increase but immediately in 2018 it relapses again.
05ea13,A,9,cross,plain,49257,Product A starts increasing at a rate you counted from 2010 to 2013 and in 2014 it decreases a little. They increase their sales again in 2015 and continue until 2020.
1684cc,A,1,diverge,plain,116494,"Product A has been declining its sales for the last 10 years, there has been a steady decline and no signs of improvement in sales are showing. It is possible to believe that by 2020 it will close its sales at zero."
1684cc,A,2,converge,arrow,128588,"During the launch of the product in 2010 to 2011 it had good growth with ample sales, however for 2012 they fell a little, but after that fall they have only had growth in sales until the last register."
1684cc,A,3,diverge,arrow,213910,"In 2010, sales were at the highest level, however, sales began to decline constantly until 2016. In 2017 sales growth recovered, but it had a decline again for 2018. It has multiple ups and downs in sales, however, the falls have been stronger than the recovery in sales, and it seems like 2020 will continue to fall."
1684cc,A,4,converge,animate,126763,"In 2010 sales had a great increase, however, for 2011 to 2012 these sales fell. However after these dates the product has had a very fluid growth, with minimal drops in sales."
1684cc,A,5,cross,animate,323573,"By 2011 it had great sales, but by 2014 it had a major drop in sales, till then the product started  growing in sales and it can be predictable that it will keep growing even more the next years."
1684cc,A,6,cross,plain,150362,"Since 2010 to 2013 it had a great growth, during this year to 2014 the sales drop exponentially, but by 2015 they recovered at it seems like they keep growing and they will sell more the next years."
1684cc,A,7,cross,arrow,91011,"Since 2010 to 2011 it had a major drop, but since then they have recovered and they keep keep growing and multiplying their sales each year, with minimum drops."
1684cc,A,8,converge,plain,142328,"The growth of the product A, mostly has been continue with minimum drops, almost nothing and all its sales keep flowing in growth, especially since 2016 until 2020."
1684cc,A,9,diverge,animate,169302,"Since 2010 the sales started to drop, by 2015 they gained a little bit of sales, but they had a major drop until 2017. It seems like in 2018 they managed to gain some growth on sales, but since then the sales keeps falling."
22ab7e,A,1,converge,arrow,166640,"the blue line started of growing in 2010 the there was a decline in 2012, however it managed to pick up again in 2014 with a slow and steady growth up until 2016. from there onwards the growth has been pleasing as it reveals growth with no decline till 2020"
22ab7e,A,2,diverge,animate,213627,"Product A shows a decline in sales over the years the company started off with high sales in 2014 and it started decreasing from there onwards, also there was some growth in certain years like 2015, it was not enough as the decline became more and more"
22ab7e,A,3,cross,arrow,124705,the product sales didn't start off well in 2010 as a result there was a huge decline in 2011 however sales picked up again in 2013 and now the company can be said to be doing well as product a has passed product b in terms of sales
22ab7e,A,4,cross,animate,209019,"sales in product b in 2010 stared off very low, we can assume that because off continuous development, sales started growing steadily 2014 however was not a good year the product sales has since flourished from there"
22ab7e,A,5,converge,animate,144812,"Very low product sales in 2014 however there was gradual growth from there onwards, with certain years not being d=so good therefore sales decline from 2017-2018 there has been increased growth with no decline"
22ab7e,A,6,diverge,arrow,142751,"product sales started off really well in the beginning and then there was a decline, the product is at its all time low in 2020 with no signs of growth "
22ab7e,A,7,diverge,plain,130095,"The product started off with very high sales and as the years went it decreased in sales 2014- 2017 there was a up and down in sales with no consistency, from 2017 downwards sales have decreased"
22ab7e,A,8,cross,plain,115850,"sales started off very low in the start there was gwoht from 2011 till 2013, then a decline occurred in 2014. The product managed to pcik up in 2015 and has since been doing well"
22ab7e,A,9,converge,plain,140546,"Product sales started off dismally low, however there was an increase up until 2011, it tried to remains consistent from 2012-2014, and then product sales started growing from 2015-2020"
301a2a,A,1,diverge,arrow,52872,"Product A decreased in sales from 2010 to 2020. There was a slight increase in sales in 2017, however, this very quickly slumped in 2018. It increased again in 2019 but once again dropped in 2020."
301a2a,A,2,cross,arrow,64795,"Sales of product A decreased from 2010 to 2011, but increased drastically from 2011 to 2013. From 2013, there was a moderate increase up til 2017, where it slightly fell in 2018. The increase repeated in 2019, and again in 2020."
301a2a,A,3,diverge,animate,64714,"From 2010 to 2020, the sales of Product A decreased moderately. Despite a slight increase from 2014 to 2015, the degrading pattern continued thereafter until 2017. After this, there was a slight increase again but once again, moderately decreased up til 2020."
301a2a,A,4,converge,arrow,68976,"Product A increased dramatically from 2010 to 2011. However, from 2011 to 2012, it decreased drastically. After this, it rocketed to 2013 and moderately increased thereafter until the year of 2020."
301a2a,A,5,cross,plain,48385,"Product A increased moderately until 2013, there it had a slight slump before increasing again in 2014. Thereafter, Product A sales increased continued the pattern of a rise in sales til 2020."
301a2a,A,6,converge,plain,57459,"Product A sales rocketed at the same rate from 2010 to 2012. From 2012 to 2014, sales moderately continued at the same rate, however moderately increased until 2020."
301a2a,A,7,converge,animate,75787,"Product A sales rocketed from 2010 to 2011. A slight slump from 2011 to 2012, however, moderately increased til 2013. From here on, it increased dramatically to approximately 55 sales, and moderately increased until 2017, to which its sales rocketed until 2020."
301a2a,A,8,diverge,plain,44973,"Product A sales dramatically decreased from 2010, where it sold 80 units to 2020, where it sold 10 units. The graph shows that Product A's sales had a dramatic decline throughout the decade."
301a2a,A,9,cross,animate,107157,"Product A fluctuated in sales from 2010 to 2020. It rose from 2010 to 2012, until it had a moderate decline up til 2014. Product A sales increased dramatically from 2014 to 2015. However, sales were moderate until 2016 where there was a moderate increase until 2020."
49a867,A,1,cross,animate,340914,"Product A had a positive growing sale until 2013, which started to decrease until 2014. From then on it has been growing in sales up until the present time."
49a867,A,2,cross,plain,124843,"Product A had increasing sales until 2013. From 2013 to 2014 there was a decline in the blue line, where the sales dropped. From 2014 to the present the sales went up again, surpassing product B in mid-2018. "
49a867,A,3,cross,arrow,118140,Product A had a 1 year decline in sales from 2010 to 2011. From 2011 to 2017 the sales went from 10 to around 65. From 2017 to 2018 there was a slight downgrade in the sales. In 2018 the sales went up again until the present.
49a867,A,4,diverge,arrow,122617,"Product A had a generally declining line throughout the years, except for three separate years where it had small increases, which were 2014 to 2015, from 2016 to 2017 and then from 2018 to 2019. One could say that from 2014 onward, Product A had a pattern of 1 year decrease followed by one year increase."
49a867,A,5,converge,animate,143454,"Product A had very fast growth in sales in the first year (2010-2011), followed by a small decrease from 2011 to 2012. From then on the sales started to slowly increase throughout the years, until 2017 where it reached a linear growth."
49a867,A,6,converge,arrow,207245,"Product A started with an increasing sale up to 2011, where it decreased until 2012, dropping to 20. From 2012 on the sales increased in a generally steady pace"
49a867,A,7,diverge,plain,86239,"Product A started with 80 sales and decreased gradually throughout the years, except in the years 2014-2015 and 2016-2017 where it increased just a little"
49a867,A,8,converge,plain,108948,"Product A started in 2010 with almost no sales, whereas product B was already in 60. It had a very good growth until 2013 where the sales decreased a little bit. From then on it grew almost reaching product B's sales."
49a867,A,9,diverge,animate,202507,"Product A's sales decreased until 2014, where it increased until 2015. From 2015 until 2017 it decreased again. From 2017 to 2018 it had a small increase again, and then it started to decrease again. Overall it had a general decrease in sales"
4a1899,A,1,cross,plain,104660,"Product A started with lower Sales than Product B, but had a steady upwards trajectory. in 2014 it declined in sales, but the following year the sales went back up."
4a1899,A,2,cross,animate,64849,"Product A had a steep incline in sales from 2011 to 2012, plateaued until the sales dropped in 2014. in 2015 the sales rose, and kept a steady growth rate from then on"
4a1899,A,3,diverge,plain,66363,"Product A started with high sales, and then steadily declined in sales, with a few peaks in 2015 and 2017, but ultimately still declined in sales steadily"
4a1899,A,4,converge,plain,64695,"Product A steadily increased in sales yearly, starting with a sharp increase from 2010 to 2012. It plateaued from 2012 to 2014, then continued with a steady increase. "
4a1899,A,5,converge,animate,90595,"Product A has an unpredictable growth curve. It started with a sharp increase in sales from 2010 to 2011, dipped down in 2012, plateaued for a bit then increased again in 2015. It then follows the same pattern decreasing in sales, plateauing, then steadily increasing from 2017 onwards"
