id,part,step,metaphor,style,time
00e8dc,B,1,cross,plain,38951
00e8dc,B,2,cross,plain,34957
00e8dc,B,3,cross,animate,38010
00e8dc,B,4,converge,arrow,25577
00e8dc,B,5,diverge,plain,54762
00e8dc,B,6,converge,plain,43743
00e8dc,B,7,converge,plain,51268
00e8dc,B,8,diverge,animate,35939
00e8dc,B,9,diverge,plain,32270
00e8dc,B,10,diverge,plain,29292
00e8dc,B,11,converge,animate,30026
00e8dc,B,12,converge,arrow,39493
00e8dc,B,13,cross,arrow,16284
00e8dc,B,14,cross,plain,12201
00e8dc,B,15,converge,animate,20610
00e8dc,B,16,diverge,arrow,17801
00e8dc,B,17,converge,plain,14632
00e8dc,B,18,converge,arrow,16229
00e8dc,B,19,cross,arrow,14351
00e8dc,B,20,diverge,arrow,16664
00e8dc,B,21,cross,animate,34798
00e8dc,B,22,diverge,animate,14498
00e8dc,B,23,cross,animate,18464
00e8dc,B,24,cross,arrow,12035
00e8dc,B,25,converge,animate,10408
00e8dc,B,26,diverge,arrow,17343
00e8dc,B,27,diverge,animate,20300
05b90c,B,1,cross,plain,15246
05b90c,B,2,converge,arrow,28801
05b90c,B,3,cross,animate,16618
05b90c,B,4,cross,arrow,41854
05b90c,B,5,diverge,plain,11400
05b90c,B,6,diverge,animate,18701
05b90c,B,7,converge,arrow,19234
05b90c,B,8,diverge,animate,12565
05b90c,B,9,diverge,arrow,29020
05b90c,B,10,diverge,plain,13750
05b90c,B,11,converge,animate,30327
05b90c,B,12,converge,plain,28274
05b90c,B,13,diverge,arrow,32013
05b90c,B,14,cross,plain,12589
05b90c,B,15,diverge,plain,19314
05b90c,B,16,converge,plain,141035
05b90c,B,17,diverge,animate,11686
05b90c,B,18,converge,arrow,14716
05b90c,B,19,diverge,arrow,16369
05b90c,B,20,converge,animate,11368
05b90c,B,21,cross,animate,16033
05b90c,B,22,cross,arrow,33117
05b90c,B,23,converge,plain,9285
05b90c,B,24,cross,plain,27227
05b90c,B,25,converge,animate,10578
05b90c,B,26,cross,arrow,21151
05b90c,B,27,cross,animate,16815
05ea13,B,1,diverge,animate,20625
05ea13,B,2,diverge,plain,30943
05ea13,B,3,cross,animate,37893
05ea13,B,4,cross,plain,35124
05ea13,B,5,diverge,animate,28391
05ea13,B,6,cross,arrow,33180
05ea13,B,7,converge,animate,24035
05ea13,B,8,converge,plain,21286
05ea13,B,9,diverge,plain,12042
05ea13,B,10,diverge,animate,11900
05ea13,B,11,diverge,plain,9027
05ea13,B,12,cross,plain,10407
05ea13,B,13,converge,arrow,8852
05ea13,B,14,cross,arrow,6348
05ea13,B,15,converge,animate,15517
05ea13,B,16,converge,plain,4245
05ea13,B,17,cross,plain,13668
05ea13,B,18,converge,animate,9613
05ea13,B,19,converge,arrow,9466
05ea13,B,20,cross,animate,6113
05ea13,B,21,converge,arrow,11118
