id,part,step,metaphor,style,time,response
21ed73,A,1,diverge,animate,70068,"I see that even the two products had different starts (one started selling and the oher did not), with time both went up, however, product B seems to be more succesful because of the way the sells went"
21ed73,A,2,converge,plain,219461,"It seems that both products had a very similar development in sells, except for the part where product A sell line through time went down at the beginning. Product B sales seem more stable."
21ed73,A,3,diverge,arrow,112090,"Both products seem successful at sales through time, but product A went from a very low point and ended way to high, product B was more stable in sales"
21ed73,A,4,cross,arrow,81889,"It seems product B was not quite successful and even with the ups and downs of the sales it mantained its course.
Product B was fully successful because it only went up and really increased the sales through time"
21ed73,A,5,converge,animate,94098,"Product A had a hard way up to its top sales but kept going up, product B had a more stable development, but two specific points where the sales went up and down almost the same amount"
21ed73,A,6,converge,arrow,51401,"It seems product B had some trouble with the sales through time and did not have a very outstanding development, on the contrary, product A always went up."
21ed73,A,7,cross,animate,96979,"Product A had a very successful way reaching a high point in sales through time, product B only had troubles because of the ups and downs and at the end was no successful at all"
21ed73,A,8,cross,plain,192377,Product B did not had a successful development even though at some point sales went up. Product A had a hard time but was entirely successful because of the point sales ended.
21ed73,A,9,diverge,plain,66537,"Even though at the end product A lost some sales it was successful, product B was successful too but only at the end of the graph because its sales were quite stable through time"
22edb3,A,1,diverge,plain,78196,"Both product have a significant climb/increase, however it seems that Product A is at a steady climb whereas Product B has had more ups and downs before coming to a stable position"
22edb3,A,2,diverge,arrow,119742,"Both Products started with a decrease, After Product A has had a steady increase, it seems to be decreasing as to Product B that started off more unstable but continues to Increase"
22edb3,A,3,converge,plain,93653,"It seems like Product B has been fairly unstable, decreasing then Increasing then decreasing and increasing again before finding some form of stability. Meanwhile Product A however unstable in the beginning found a fairly stable Increase"
22edb3,A,4,cross,plain,78004,"In comparison to Product B, Product A started on a lower scale but has been significantly increasing to even surpass the sales of Product B against a steady pace. Product B is unstable and sales are going down"
22edb3,A,5,diverge,animate,62220,Both Products starts off at a low sale rate but steadily starts to stabilize. However where Product B starts to increase Product A is taking a decrease towards the end of the chart
22edb3,A,6,converge,animate,92277,"Product B has climbed and then also significantly dropped, it seems to be ending on the sales it started with. Where Product A had a significant dropped but recovered and has been increasing and ending in almost the same level as Product B"
22edb3,A,7,cross,arrow,79839,Product B has had a increase in sales although it has been up and down with no real stabilization. On the other hand Product A has been climbing and is still rising to surpass Product B and is still climbing
22edb3,A,8,cross,animate,58997,"Product A seems to be doing really well, with a steady climb and just a few lows. On the other hand Product B started off very well but has been decreasing rather than increasing in sales"
22edb3,A,9,converge,arrow,65174,Product B seems to have decreased in sales at a significant pace before increasing slightly again. Where Product A has only had significant increases and is still increasing and will most likely surpass Product B's sales.
36d40a,A,1,cross,plain,118533,"Product A starting from a low point of the chart then its going up then a little bit down but then again rapidly up 
Product B is starting from a high point of the chart then it get its peak after it falls down then again rising up then slightly falling down and then a little bit up but then again down and then rapidly up 
"
36d40a,A,2,diverge,plain,100125,"Product A is starting still then it falls down then it rise up then a little bit down then down faster and then rapidly up
Product B is starting by rapidly rising up then it is falling down but then again rise then fall then faster rise then fall and then it is going fast up getting its peak"
