id,part,step,metaphor,style,time
21ed73,B,1,converge,arrow,31541
21ed73,B,2,diverge,arrow,31256
21ed73,B,3,cross,arrow,28934
21ed73,B,4,diverge,plain,35142
21ed73,B,5,cross,animate,15299
21ed73,B,6,cross,plain,26220
21ed73,B,7,diverge,arrow,28358
21ed73,B,8,converge,animate,34264
21ed73,B,9,converge,plain,25208
21ed73,B,10,diverge,plain,25358
21ed73,B,11,cross,animate,32694
21ed73,B,12,cross,arrow,25643
21ed73,B,13,cross,plain,24929
21ed73,B,14,cross,animate,31329
21ed73,B,15,converge,arrow,25996
21ed73,B,16,diverge,animate,26515
21ed73,B,17,converge,animate,20973
21ed73,B,18,converge,plain,27168
21ed73,B,19,converge,animate,24153
21ed73,B,20,cross,arrow,21861
21ed73,B,21,diverge,arrow,24499
21ed73,B,22,cross,plain,24751
21ed73,B,23,diverge,animate,21067
22edb3,B,1,diverge,arrow,25027
22edb3,B,2,converge,plain,28947
22edb3,B,3,converge,arrow,25852
22edb3,B,4,cross,arrow,33399
22edb3,B,5,cross,plain,25443
22edb3,B,6,diverge,plain,27740
22edb3,B,7,diverge,plain,31697
22edb3,B,8,converge,animate,37359
22edb3,B,9,converge,plain,25396
22edb3,B,10,cross,animate,23781
22edb3,B,11,cross,animate,30944
22edb3,B,12,diverge,plain,21827
22edb3,B,13,converge,arrow,44669
22edb3,B,14,converge,animate,45392
22edb3,B,15,cross,plain,25896
22edb3,B,16,converge,plain,27159
22edb3,B,17,diverge,arrow,33911
22edb3,B,18,converge,animate,30132
22edb3,B,19,cross,plain,28463
22edb3,B,20,converge,arrow,38445
22edb3,B,21,diverge,arrow,37687
22edb3,B,22,diverge,animate,24614
22edb3,B,23,cross,animate,30111
22edb3,B,24,diverge,animate,26174
22edb3,B,25,cross,arrow,32933
22edb3,B,26,diverge,animate,21138
22edb3,B,27,cross,arrow,28755
36d40a,B,1,cross,animate,22853
36d40a,B,2,diverge,arrow,13522
36d40a,B,3,cross,plain,23240
36d40a,B,4,diverge,animate,15785
36d40a,B,5,diverge,animate,14592
36d40a,B,6,cross,arrow,18305
36d40a,B,7,diverge,arrow,16648
36d40a,B,8,diverge,arrow,17107
36d40a,B,9,diverge,plain,12528
36d40a,B,10,cross,plain,18838
36d40a,B,11,converge,animate,28827
36d40a,B,12,cross,plain,14358
36d40a,B,13,converge,plain,12446
36d40a,B,14,converge,arrow,6884
36d40a,B,15,cross,animate,6935
36d40a,B,16,cross,arrow,7926
36d40a,B,17,converge,animate,3760
36d40a,B,18,converge,arrow,5175
36d40a,B,19,diverge,animate,3943
36d40a,B,20,converge,plain,4848
36d40a,B,21,cross,arrow,5219
36d40a,B,22,converge,animate,8130
36d40a,B,23,converge,plain,5528
36d40a,B,24,diverge,plain,5366
36d40a,B,25,cross,animate,5973
36d40a,B,26,converge,arrow,5840
36d40a,B,27,diverge,plain,3888
3cb7d3,B,1,cross,animate,20814
3cb7d3,B,2,diverge,arrow,15259
3cb7d3,B,3,diverge,animate,23131
3cb7d3,B,4,diverge,animate,33118
3cb7d3,B,5,cross,arrow,51830
3cb7d3,B,6,converge,animate,16441
3cb7d3,B,7,diverge,plain,23905
3cb7d3,B,8,cross,animate,27303
3cb7d3,B,9,converge,plain,9200
3cb7d3,B,10,cross,arrow,10261
3cb7d3,B,11,diverge,arrow,7117
3cb7d3,B,12,converge,plain,9417
3cb7d3,B,13,cross,plain,9608
3cb7d3,B,14,diverge,plain,5580
3cb7d3,B,15,converge,arrow,7203
3cb7d3,B,16,converge,arrow,7380
3cb7d3,B,17,diverge,plain,6755
3cb7d3,B,18,cross,plain,10979
3cb7d3,B,19,converge,arrow,8024
3cb7d3,B,20,diverge,animate,8328
3cb7d3,B,21,cross,plain,5912
3cb7d3,B,22,cross,arrow,4273
3cb7d3,B,23,converge,animate,6988
3cb7d3,B,24,converge,animate,5681
3cb7d3,B,25,converge,plain,5866
3cb7d3,B,26,cross,animate,12325
3cb7d3,B,27,diverge,arrow,12668
4f4106,B,1,diverge,animate,54911
4f4106,B,2,diverge,plain,69950
4f4106,B,3,converge,arrow,64105
4f4106,B,4,diverge,animate,52144
4f4106,B,5,diverge,arrow,54449
4f4106,B,6,converge,animate,67662
4f4106,B,7,cross,arrow,67816
4f4106,B,8,converge,arrow,34172
4f4106,B,9,cross,animate,83588
4f4106,B,10,cross,plain,69448
4f4106,B,11,diverge,arrow,65844
4f4106,B,12,diverge,arrow,44298
4f4106,B,13,cross,arrow,61157
4f4106,B,14,cross,plain,54904
4f4106,B,15,cross,arrow,27621
4f4106,B,16,converge,arrow,50163
4f4106,B,17,cross,animate,64181
4f4106,B,18,converge,plain,57503
4f4106,B,19,diverge,plain,51966
4f4106,B,20,diverge,plain,62241
4f4106,B,21,converge,plain,32985
4f4106,B,22,diverge,animate,28533
4f4106,B,23,converge,animate,44694
4f4106,B,24,converge,plain,43123
4f4106,B,25,cross,plain,46611
4f4106,B,26,cross,animate,49095
4f4106,B,27,converge,animate,51718
5e971b,B,1,diverge,animate,20953
5e971b,B,2,converge,animate,39705
5e971b,B,3,converge,plain,19225
5e971b,B,4,cross,plain,21234
5e971b,B,5,diverge,animate,8393
5e971b,B,6,diverge,plain,10197
5e971b,B,7,diverge,plain,14498
5e971b,B,8,diverge,animate,14789
5e971b,B,9,converge,arrow,9688
5e971b,B,10,cross,plain,18118
5e971b,B,11,cross,plain,12461
5e971b,B,12,converge,arrow,6689
5e971b,B,13,converge,animate,12369
5e971b,B,14,converge,animate,8389
5e971b,B,15,cross,animate,4089
5e971b,B,16,diverge,plain,5972
5e971b,B,17,converge,plain,13088
5e971b,B,18,converge,arrow,6659
5e971b,B,19,cross,arrow,6038
5e971b,B,20,cross,arrow,11022
5e971b,B,21,diverge,arrow,23587
5e971b,B,22,diverge,arrow,4840
5e971b,B,23,diverge,arrow,13111
5e971b,B,24,cross,arrow,10807
5e971b,B,25,cross,animate,12347
5e971b,B,26,converge,plain,15536
5e971b,B,27,cross,animate,7070
61a414,B,1,converge,arrow,32628
61a414,B,2,converge,plain,28946
61a414,B,3,diverge,plain,33987
61a414,B,4,converge,plain,36971
61a414,B,5,diverge,plain,39216
61a414,B,6,cross,animate,23707
61a414,B,7,cross,animate,28866
61a414,B,8,cross,plain,29337
61a414,B,9,diverge,plain,10402
61a414,B,10,cross,arrow,18403
61a414,B,11,diverge,animate,13346
61a414,B,12,diverge,arrow,74266
61a414,B,13,converge,plain,16922
61a414,B,14,cross,plain,8683
61a414,B,15,converge,arrow,21407
61a414,B,16,cross,animate,17034
61a414,B,17,cross,arrow,42988
61a414,B,18,cross,arrow,25988
61a414,B,19,converge,animate,14854
